country,channel,creative,spend,impressions,clicks,installs,d1_retained,d7_retained,payers_d30,revenue_d7,revenue_d30,CTR_%,CVR_%,CPI,D1_Retention_%,D7_Retention_%,Payer_Rate_%,CAC,D7_ROAS_%,D30_ROAS_%,recommendation
US,Meta,C_Dynamic,3299.45,259488,5758,1989,836,373,82,855.72,2965.79,2.22,34.54,1.66,42.03,18.75,4.12,40.24,25.94,89.89,Keep / Optimize
Brazil,Meta,B_Squad,2090.22,495200,12202,4060,1604,691,96,447.62,1837.79,2.46,33.27,0.51,39.51,17.02,2.36,21.77,21.41,87.92,Keep / Optimize
Brazil,Google_YouTube,D_Creator,2821.36,567980,15490,6497,2419,1047,135,568.35,2474.71,2.73,41.94,0.43,37.23,16.12,2.08,20.9,20.14,87.71,Keep / Optimize
US,Google_YouTube,E_ShortMatch,3945.22,254706,4936,2027,867,404,84,818.18,3418.2,1.94,41.07,1.95,42.77,19.93,4.14,46.97,20.74,86.64,Keep / Optimize
Brazil,Meta,D_Creator,2596.2,620770,20294,7162,2423,1065,128,595.55,2207.14,3.27,35.29,0.36,33.83,14.87,1.79,20.28,22.94,85.01,Keep / Optimize
Brazil,TikTok,B_Squad,2141.81,567125,16892,4731,1694,761,107,461.44,1816.57,2.98,28.01,0.45,35.81,16.09,2.26,20.02,21.54,84.81,Test Carefully
US,TikTok,D_Creator,3519.93,298093,8456,2274,783,367,74,795.13,2950.75,2.84,26.89,1.55,34.43,16.14,3.25,47.57,22.59,83.83,Test Carefully
US,Google_YouTube,A_Gunplay,2967.43,194346,4890,1963,740,343,70,691.88,2458.02,2.52,40.14,1.51,37.7,17.47,3.57,42.39,23.32,82.83,Test Carefully
US,Meta,D_Creator,2807.73,209374,5149,1602,609,272,55,516.2,2211.42,2.46,31.11,1.75,38.01,16.98,3.43,51.05,18.38,78.76,Test Carefully
Brazil,Meta,A_Gunplay,2209.28,522297,16072,5603,1681,766,96,435.82,1736.2,3.08,34.86,0.39,30.0,13.67,1.71,23.01,19.73,78.59,Test Carefully
Brazil,Google_YouTube,E_ShortMatch,2988.06,612574,12646,5385,2116,930,126,554.25,2193.1,2.06,42.58,0.55,39.29,17.27,2.34,23.71,18.55,73.4,Test Carefully
Brazil,Google_YouTube,C_Dynamic,2244.19,466100,9017,3810,1567,691,93,404.74,1643.22,1.93,42.25,0.59,41.13,18.14,2.44,24.13,18.04,73.22,Test Carefully
Brazil,Google_YouTube,B_Squad,2034.29,393285,7505,2716,1160,492,77,371.67,1478.0,1.91,36.19,0.75,42.71,18.11,2.84,26.42,18.27,72.65,Test Carefully
Brazil,TikTok,C_Dynamic,2387.34,574942,15377,4905,1746,739,94,414.05,1727.82,2.67,31.9,0.49,35.6,15.07,1.92,25.4,17.34,72.37,Test Carefully
Brazil,TikTok,E_ShortMatch,1819.91,459016,13718,4208,1389,639,76,365.9,1288.66,2.99,30.68,0.43,33.01,15.19,1.81,23.95,20.11,70.81,Test Carefully
Brazil,TikTok,A_Gunplay,2187.84,551449,20674,5995,1808,797,87,391.33,1516.11,3.75,29.0,0.36,30.16,13.29,1.45,25.15,17.89,69.3,Reduce / Pause
US,Google_YouTube,D_Creator,3061.2,197027,3959,1474,611,276,55,526.06,2065.62,2.01,37.23,2.08,41.45,18.72,3.73,55.66,17.18,67.48,Reduce / Pause
Brazil,Meta,E_ShortMatch,2190.48,485860,12226,4372,1580,692,85,374.4,1472.52,2.52,35.76,0.5,36.14,15.83,1.94,25.77,17.09,67.22,Reduce / Pause
Brazil,Google_YouTube,A_Gunplay,2092.79,394914,9512,3944,1317,588,74,337.1,1330.41,2.41,41.46,0.53,33.39,14.91,1.88,28.28,16.11,63.57,Reduce / Pause
Brazil,Meta,C_Dynamic,2864.5,633299,14221,4884,1744,816,103,427.1,1735.78,2.25,34.34,0.59,35.71,16.71,2.11,27.81,14.91,60.6,Reduce / Pause
